date,session,number,bill,question,result,description,yeatotal,naytotal
2009-04-02,1,142,S.Con.Res. 13,On the Amendment S.Amdt. 926,Agreed to,"Bond Amdt. No. 926; To protect workers from significant job loss by providing a point of order against climate change or similar legislation that raises Federal revenues to such an extent that it causes significant job loss in manufacturing- or coal-dependent U.S. regions such as the Midwest, Great Plains or South.",54,44
2009-04-02,1,143,S.Con.Res. 13,On the Amendment S.Amdt. 954,Rejected,"Bennett Amdt. No. 954, As Modified; To save the American taxpayer over $150,000,000,000 by adjusting spending levels beyond fiscal year 2010 to compensate for spending from the stimulus bill in the corresponding fiscal years.",42,56
2009-04-02,1,144,S.Con.Res. 13,On the Motion S.Amdt. 934,Rejected,Motion to Waive CBA re: Cornyn Amdt. No. 934; To increase transparency by requiring five days of public review of legislation before passage by the Senate.,46,52
2009-04-02,1,145,S.Con.Res. 13,On the Motion S.Amdt. 798,Agreed to,Motion to Waive CBA re: Wicker Amdt. No. 798; To ensure that law abiding Amtrak passengers are allowed to securely transport firearms in their checked baggage.,63,35
2009-04-02,1,146,S.Con.Res. 13,On the Amendment S.Amdt. 873,Agreed to,Lincoln Amdt. No. 873; To create a deficit-neutral reserve fund for estate tax relief.,51,48
2009-04-02,1,147,S.Con.Res. 13,On the Amendment S.Amdt. 974,Agreed to,"Durbin Amdt. No. 974, As Modified; To provide that no additional estate tax relief beyone that which is already assumed in this resolution, which protects over 99.7 percent of estates from the estate tax, shall be allowed under any deficit-neutral reserve fund unless an equal amount of aggregate tax relief is also provided to Americans earning less than $100,000 per year.",56,43
2009-04-02,1,148,S.Con.Res. 13,On the Amendment S.Amdt. 965,Rejected,DeMint Amdt. No. 965; To prevent taxpayer-funded bailouts for auto manufacturers.,31,66
2009-04-02,1,149,S.Con.Res. 13,On the Motion S.Amdt. 967,Rejected,Motion To Waive CBA DeMint Amdt. No. 967; To implement President Obama's earmark reforms.,28,69
2009-04-02,1,150,S.Con.Res. 13,On the Motion S.Amdt. 969,Rejected,Motion to Waive CBA re: Sessions Amdt. No. 969; To provide for a point of order against any appropriations bill that fails to fully fund the construction of the Southwest border fence.,36,61
2009-04-02,1,151,S.Con.Res. 13,On the Amendment S.Amdt. 964,Rejected,DeMint Amdt. No. 964; To establish a deficit-neutral reserve fund to protect small and home businesses from the burdensome and impractical requirements of the Consumer Product Safety Improvement Act of 2008.,39,58
2009-04-02,1,152,S.Con.Res. 13,On the Amendment S.Amdt. 828,Rejected,Coburn Amdt. No. 828; To protect the freedom of conscience for patients and the right of health care providers to serve patients without violating their moral and religious convictions.,41,56
2009-04-02,1,153,S.Con.Res. 13,On the Amendment S.Amdt. 937,Rejected,"Vitter Amdt. No. 937; To require States to implement drug testing programs for applicants for and recipients of assistance under the Temporary Assistance for Needy Families (TANF) program, which would encourage healthy, drug-free families instead of encouraging dependent behavior or on-going drug abuse.",18,79
2009-04-02,1,154,S.Con.Res. 13,On the Concurrent Resolution,Agreed to,"S. Con. Res. 13 as Amended; An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2010, revising the appropriate budgetary levels for fiscal year 2009, and setting forth the appropriate budgetary levels for fiscal years 2011 through 2014.",55,43
2009-04-20,1,155,PN115,On the Nomination,Confirmed,"Nomination of Tony West, of California, to be an Assistant Attorney General",82,4
2009-04-20,1,156,PN88,On the Nomination,Confirmed,Nomination of Lanny A. Breuer to be an Assistant Attorney General,88,0
2009-04-20,1,157,PN89,On the Nomination,Confirmed,"Nomination of Christine Anne Varney, of the District of Columbia, to be an Assistant Attorney General",87,1
2009-04-20,1,158,PN171,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Nomination of Christopher R. Hill, of R.I. to be Ambassador to the Republic of Iraq",73,17
2009-04-21,1,159,PN171,On the Nomination,Confirmed,"Confirmation of Christopher R. Hill, of Rhode Island, to be Ambassador to the Republic of Iraq",73,23
2009-04-22,1,160,S. 386,On the Amendment S.Amdt. 985,Agreed to,"Kyl Amdt. No. 985; To modify the definition of the term ""obligation"".",94,1
2009-04-22,1,161,S. 386,On the Amendment S.Amdt. 995,Agreed to,"Isakson Amdt. No. 995; To establish the Financial Markets Commission, and for other purposes.",92,4
2009-04-23,1,162,S. 386,On the Amendment S.Amdt. 986,Rejected,"Kyl Amdt. No. 986; To limit the amount that may be deducted from proceeds due to the United States under the False Claims Act for purposes of compensating private intervenors to the greater of $50,000,000 or 300 percent of the expenses and costs of the intervenor.",31,61
2009-04-23,1,163,S.Con.Res. 13,On the Motion,Agreed to,"Stabenow Motion to Instruct Conferees Re: S. Con. Res. 13; An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2010, revising the appropriate budgetary levels for fiscal year 2009, and setting forth the appropriate budgetary levels for fiscal years 2011 through 2014.",57,37
2009-04-23,1,164,S.Con.Res. 13,On the Motion,Agreed to,"Johanns Motion to Instruct Conferees Re: S. Con. Res. 13; An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2010, revising the appropriate budgetary levels for fiscal year 2009, and setting forth the appropriate budgetary levels for fiscal years 2011 through 2014.",66,28
2009-04-23,1,165,S.Con.Res. 13,On the Motion,Rejected,"Gregg Motion to Instruct Conferees Re: S. Con. Res. 13; An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2010, revising the appropriate budgetary levels for fiscal year 2009, and setting forth the appropriate budgetary levels for fiscal years 2011 through 2014.",40,54
2009-04-23,1,166,S.Con.Res. 13,On the Motion,Rejected,"Sessions Motion to Instruct Conferees Re: S. Con. Res. 13; An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2010, revising the appropriate budgetary levels for fiscal year 2009, and setting forth the appropriate budgetary levels for fiscal years 2011 through 2014.",38,56
2009-04-23,1,167,S.Con.Res. 13,On the Motion,Agreed to,"Cornyn Motion to Instruct Conferees Re: S. Con. Res. 13; An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2010, revising the appropriate budgetary levels for fiscal year 2009, and setting forth the appropriate budgetary levels for fiscal years 2011 through 2014.",84,9
2009-04-23,1,168,S.Con.Res. 13,On the Motion,Agreed to,"DeMint Motion to Instruct Conferees Re: S. Con. Res. 13; An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2010, revising the appropriate budgetary levels for fiscal year 2009, and setting forth the appropriate budgetary levels for fiscal years 2011 through 2014.",79,14
2009-04-23,1,169,S.Con.Res. 13,On the Motion,Agreed to,"Vitter Motion to Instruct Conferees Re: S. Con. Res. 13; An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2010, revising the appropriate budgetary levels for fiscal year 2009, and setting forth the appropriate budgetary levels for fiscal years 2011 through 2014.",63,30
2009-04-27,1,170,S. 386,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Committee Substitute to S. 386; Fraud Enforcement and Recovery Act of 2009,84,4
2009-04-28,1,171,S. 386,On Passage of the Bill,Passed,S. 386 as Amended; Fraud Enforcement and Recovery Act of 2009,92,4
2009-04-28,1,172,PN188,On the Nomination,Confirmed,"Confirmation Kathleen Sebelius, of Kansas, to be Secretary of Health and Human Services",65,31
2009-04-29,1,173,S.Con.Res. 13,On the Conference Report,Agreed to,"Conference Report to Accompany S. Con. Res. 13; An original concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2010, revising the appropriate budgetary levels for fiscal year 2009, and setting forth the appropriate budgetary levels for fiscal years 2011 through 2014.",53,43
2009-04-30,1,174,S. 896,On the Amendment S.Amdt. 1014,Rejected,Durbin Amdt. No. 1014; To prevent mortgage foreclosures and preserve home values.,45,51
2009-04-30,1,175,PN178,On the Nomination,Confirmed,"Confirmation Thomas L. Strickland, of Colorado, to be Assistant Secretary for Fish and Wildlife",89,2
2009-05-04,1,176,S. 896,On the Amendment S.Amdt. 1016,Rejected,Vitter Amdt. No. 1016; To authorize and remove impediments to the repayment of funds received under the Troubled Asset Relief Program.,39,53
2009-05-04,1,177,S. 896,On the Amendment S.Amdt. 1017,Rejected,Vitter Amdt. No. 1017; To provide that the primary and foundational responsibility of the Federal Housing Administration shall be to safeguard and preserve the solvency of the Administration.,36,56
2009-05-05,1,178,S. 896,On the Amendment S.Amdt. 1019,Rejected,Corker Amdt. No. 1019; To address safe harbor for certain servicers.,31,63
2009-05-05,1,179,S. 896,On the Amendment S.Amdt. 1030,Rejected,Thune Amdt. No. 1030; To require the Secretary of the Treasury to use any amounts repaid by a financial institution that is a recipient of assistance under the Troubled Assets Relief Program to reduce the authorization level under the TARP.,47,48
2009-05-05,1,180,S. 896,On the Amendment S.Amdt. 1043,Agreed to,Ensign Amdt. NO. 1043; Of a perfecting nature.,96,0
2009-05-05,1,181,S. 896,On the Amendment S.Amdt. 1026,Rejected,"DeMint Amdt. No. 1026; To prohibit the use of Troubled Asset Relief Program funds for the purchase of common stock, and for other purposes.",36,59
2009-05-06,1,182,S. 896,On the Amendment S.Amdt. 1036,Agreed to,"Kerry Amdt. No. 1036 As Modified; To protect the interests of bona fide tenants in the case of any foreclosure on any dwelling or residential real property, and for other purposes.",57,39
2009-05-06,1,183,S. 896,On the Motion S.Amdt. 1042,Rejected,"Motion to Waive Sect. 202, S. Con. Res. 21, 110th Congress, Coburn Amdt. No. 1042; To establish a pilot program for the expedited disposal of Federal real property.",50,46
2009-05-06,1,184,S. 896,On the Amendment S.Amdt. 1021,Agreed to,"Grassley Amdt. No. 1021 As Modified ; To amend chapter 7 of title 31, United States Code, to provide the Comptroller General additional audit authorities relating to the Board of Governors of the Federal Reserve System, and for other purposes.",95,1
2009-05-06,1,185,S. 896,On Passage of the Bill,Passed,S. 896 As Amended; Helping Families Save Their Homes Act of 2009,91,5
2009-05-07,1,186,S. 454,On Passage of the Bill,Passed,S. 454 As Amended; Weapon Systems Acquisition Reform Act of 2009,93,0
2009-05-07,1,187,PN185,On the Nomination,Confirmed,"Confirmation R. Gil Kerlikowske, of Washington to be Director of National Drug Control Policy",91,1
2009-05-12,1,188,H.R. 627,On the Amendment S.Amdt. 1067,Agreed to,Coburn Amdt. No. 1067; To protect innocent Americans from violent crime in national parks and refuges.,67,29
2009-05-13,1,189,PN139,On the Cloture Motion,Rejected,"Motion to Invoke Cloture on the Nomination of David J. Hayes, of Virginia, to be Deputy Secretary of the Interior",57,39
2009-05-13,1,190,H.R. 627,On the Amendment S.Amdt. 1066,Rejected,Vitter Amdt. No. 1066; To specify acceptable forms of identification for the opening of credit card accounts.,28,65
2009-05-13,1,191,H.R. 627,On the Motion S.Amdt. 1062,Rejected,Motion to Waive CBA Sanders Amdt. No. 1062; To establish a national consumer credit usury rate.,33,60
2009-05-13,1,192,H.R. 627,On the Motion S.Amdt. 1085,Rejected,"Motion to Waive CBA Re: Gregg Amdt. No. 1085; To enhance public knowledge regarding the national debt by requiring the publication of the facts about the national debt on IRS instructions, Federal websites, and in new legislation.",59,35
2009-05-19,1,193,H.R. 627,On the Cloture Motion S.Amdt. 1058,Agreed to,Motion to Invoke Cloture on the Dodd Amdt. No. 1058; In the nature of a substitute.,92,2
2009-05-19,1,194,H.R. 627,On Passage of the Bill,Passed,H.R. 627 As Amended; Credit CARD Act of 2009,90,5
2009-05-19,1,195,PN65-3,On the Nomination,Confirmed,"Confirmation of Gary Gensler, of Maryland, to be Commissioner of the Commodity Futures Trading Commission",88,6
2009-05-20,1,196,H.R. 2346,On the Amendment S.Amdt. 1133,Agreed to,"Inouye Amdt. No. 1133; To prohibit funding to transfer, release, or incarcerate detainees detained at Guantanamo Bay, Cuba, to or within the United States.",90,6
2009-05-20,1,197,S. 454,On the Conference Report,Agreed to,Conference Report to Accompany S. 454; Weapon Systems Acquisition Reform Act of 2009,95,0
2009-05-20,1,198,H.R. 2346,On the Amendment S.Amdt. 1136,Agreed to,"McConnell Amdt. No. 1136 As Modified; To limit the release of detainees at Guantanamo Bay, Cuba, pending a report on the prisoner population at the detention facility at Guantanamo Bay.",92,3
2009-05-20,1,199,H.R. 2346,On the Amendment S.Amdt. 1140,Agreed to,"Brownback Amdt. No. 1140 As Modified; To express the sense of the Senate on consultation with State and local governments in the transfer to the United States of detainees at Naval Station Guantanamo Bay, Cuba.",94,0
2009-05-21,1,200,H.R. 2346,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on H.R. 2346; Supplemental Appropriations Act, 2009",94,1
2009-05-21,1,201,H.R. 2346,On the Amendment S.Amdt. 1138,Rejected,DeMint Amdt. No. 1138; To strike the provisions relating to increased funding for the International Monetary Fund.,30,64
2009-05-21,1,202,H.R. 2346,On Passage of the Bill,Passed,"HR 2346 As Amended ; Supplemental Appropriations Act, 2009",86,3
2009-06-02,1,203,H.R. 1256,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to H.R. 1256; Family Smoking Prevention and Tobacco Control Act,84,11
2009-06-08,1,204,H.R. 1256,On the Cloture Motion S.Amdt. 1247,Agreed to,Motion to Invoke Cloture on Amdt. 1247 ; In the nature of a substitute.,61,30
2009-06-09,1,205,H.R. 1256,On the Amendment S.Amdt. 1246,Rejected,Burr Amdt. No. 1246; In the nature of a substitute.,36,60
2009-06-10,1,206,H.R. 1256,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on H.R. 1256; Family Smoking Prevention and Tobacco Control Act,67,30
2009-06-11,1,207,H.R. 1256,On Passage of the Bill,Passed,H.R. 1256 As Amended; Family Smoking Prevention and Tobacco Control Act,79,17
2009-06-16,1,208,S. 1023,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on Motion to Proceed to S.1023; Travel Promotion Act of 2009,90,3
2009-06-18,1,209,H.R. 2346,On the Motion,Agreed to,"Motion to Waive All Applicable Points of Order Under Rule 44 on Conference Report on H.R. 2346; Supplemental Appropriations Act, 2009",60,36
2009-06-18,1,210,H.R. 2346,On the Conference Report,Agreed to,"Conference Report to Accompany H.R. 2346; Supplemental Appropriations Act, 2009",91,5
2009-06-22,1,211,S. 1023,On the Cloture Motion S.Amdt. 1347,Rejected,Motion to Invoke Cloture on Dorgan Amendment No. 1347; Of a perfecting nature.,53,34
2009-06-24,1,212,PN225,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Nomination of Harold Hongju Koh, of Connecticut, to be Legal Counsel of the Department of State",65,31
2009-06-25,1,213,PN225,On the Nomination,Confirmed,"Nomination of Harold Hongju Koh, of Connecticut, to be Legal Adviser of the Department of State",62,35
2009-06-25,1,214,H.R. 2918,On the Motion,Agreed to,"Motion to Table Motion to Commit H.R. 2918 to the Committee on Appropriations with Instructions; Legislative Branch Appropriations Act, 2010",65,31
2009-07-06,1,215,H.R. 2918,On the Amendment S.Amdt. 1366,Rejected,"McCain Amdt. No. 1366; To strike the earmark for the Durham Museum in Omaha, Nebraska.",31,61
2009-07-06,1,216,H.R. 2918,On the Point of Order S.Amdt. 1365,Not Sustained,Is it in order to offer the Amendment (SA 1365) to the Bill; In the nature of a substitute.,70,23
2009-07-06,1,217,H.R. 2918,On Passage of the Bill,Passed,"H.R. 2918 As Amended; Legislative Branch Appropriations Act, 2010",67,25
2009-07-07,1,218,H.R. 2892,On the Amendment S.Amdt. 1400,Rejected,"McCain Amendment No. 1400; To eliminate the appropriation for the Over-the-Road Bus Security Assistance, as recommended by the Administration.",47,51
2009-07-08,1,219,H.R. 2892,On the Motion S.Amdt. 1371,Rejected,Motion to Table Sessions Amdt. No. 1371; To make the pilot program for employment eligibility confirmation for aliens permanent and to improve verification of immigration status of employees.,44,53
2009-07-08,1,220,H.R. 2892,On the Amendment S.Amdt. 1399,Agreed to,"DeMint Amdt. No. 1399; To require the completion of at least 700 miles of reinforced fencing along the southwest border by December 31, 2010.",54,44
2009-07-08,1,221,H.R. 2892,On the Amendment S.Amdt. 1402,Rejected,Feingold Amdt. No. 1402; To require grants for Emergency Operations Centers and financial assistance for the predisaster mitigation program to be awarded without regard to earmarks.,38,60
2009-07-08,1,222,H.R. 2892,On the Amendment S.Amdt. 1406,Rejected,"McCain Amdt. No. 1406; To strike the provision relating to the Loran-C signal, as recommended by the Administration.",37,61
2009-07-09,1,223,H.R. 2892,On the Amendment S.Amdt. 1432,Rejected,Kyl Amdt. No. 1432; To strike the earmark for the City of Whitefish Emergency Operations Center.,36,59
2009-07-09,1,224,H.R. 2892,On the Amendment S.Amdt. 1378,Rejected,McCain Amdt. No. 1378; To strike the appropriation for the Advanced Training Center.,35,61
2009-07-09,1,225,H.R. 2892,On the Amendment S.Amdt. 1467,Agreed to,Vitter Amdt. No. 1467; To prevent funds from being used to prevent individuals from importing prescription drugs under certain circumstances.,55,36
2009-07-09,1,226,H.R. 2892,On the Amendment S.Amdt. 1468,Agreed to,Murray Amdt. No. 1468; To prohibit certain funds from being used for certain efforts.,67,24
2009-07-09,1,227,H.R. 2892,On the Amendment S.Amdt. 1434,Rejected,Coburn Amdt. No. 1434; To prohibit no bid contracts by requiring the use of competitive procedures to award contracts and grants funded under this Act.,31,60
2009-07-09,1,228,H.R. 2892,On the Amendment S.Amdt. 1430,Rejected,Sanders Amdt. No. 1430; To increase funding for firefighter assistance grants and recruitment and retention grants.,32,58
2009-07-09,1,229,H.R. 2892,On Passage of the Bill,Passed,"H.R. 2892 As Amended; Department of Homeland Security Appropriations Act, 2010",84,6
2009-07-13,1,230,PN387,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Nomination of Robert M. Groves, to be Director of the Census",76,15
2009-07-16,1,231,S. 1390,On the Amendment S.Amdt. 1611,Rejected,Hatch Amdt. No. 1611; To prevent duplication in the Federal government.,29,62
2009-07-16,1,232,S. 1390,On the Amendment S.Amdt. 1610,Agreed to,Brownback Amdt. No. 1610; To clarify that the amendment shall not be construed or applied to infringe on First Amendment rights.,78,13
2009-07-16,1,233,S. 1390,On the Cloture Motion S.Amdt. 1511,Agreed to,"Motion to Invoke Cloture on Leahy Amdt. No. 1511; To provide Federal assistance to States, local jurisdictions, and Indian tribes to prosecute hate crimes, and for other purposes.",63,28
2009-07-20,1,234,S. 1390,On the Amendment S.Amdt. 1616,Agreed to,Sessions Amdt. No. 1616; To prohibit assault or battery of a United States serviceman on account of the military service of the United States serviceman or status as a serviceman.,92,0
2009-07-21,1,235,S. 1390,On the Amendment S.Amdt. 1469,Agreed to,"Levin Amdt. No. 1469; To strike $1,750,000,000 in Procurement, Air Force funding for F-22A aircraft procurement, and to restore operation and maintenance, military personnel, and other funding in divisions A and B that was reduced in order to authorize such appropriation.",58,40
2009-07-21,1,236,S. 1390,On the Amendment S.Amdt. 1528,Agreed to,Lieberman Amdt. No. 1528; To provide authority to increase Army active-duty end strengths for fiscal year 2010 as well as fiscal year 2011 and 2012.,93,1
2009-07-22,1,237,S. 1390,On the Amendment S.Amdt. 1618,Rejected,"Thune Amdt. No. 1618; To amend chapter 44 of title 18, United States Code, to allow citizens who have concealed carry permits from the State in which they reside to carry concealed firearms in another State that grants concealed carry permits, if the individual complies with the laws of the State.",58,39
2009-07-22,1,238,S. 1390,On the Amendment S.Amdt. 1761,Agreed to,"Kerry Amdt. No. 1761; To express the sense of the Senate that the United States should fully enforce existing sanctions, and should explore additional sanctions, with respect to North Korea and to require a review to determine whether North Korea should be re-listed as a state sponsor of terrorism.",66,31
2009-07-22,1,239,S. 1390,On the Amendment S.Amdt. 1597,Rejected,Brownback Amdt. No. 1597; To express the sense of the Senate that the Secretary of State should redesignate North Korea as a state sponsor of terrorism.,43,54
2009-07-23,1,240,S. 1390,On the Amendment S.Amdt. 1767,Rejected,"Bayh Amdt. No. 1767; To provide for the continued development of a competitive propulsion system for the Joint Strike Fighter program and additional amounts, with an offset, for UH-1Y/AH-1Z rotary wing aircraft and Joint Strike Fighter program management reserves.",38,59
2009-07-23,1,241,S. 1390,On the Amendment S.Amdt. 1525,Rejected,Isakson Amdt. No. 1525; To repeal the sunset of authority to provide fire resistant rayon fiber for the production of uniforms from foreign sources.,40,54
2009-07-23,1,242,S. 1390,On Passage of the Bill,Passed,S.1390 As Amended; National Defense Authorization Act for Fiscal Year 2010,87,7
2009-07-28,1,243,H.R. 3183,On the Amendment S.Amdt. 1814,Rejected,McCain Amdt. No. 1814; To prohibit the use of funds to carry out any project or site-specific location identified in the committee report unless the project is specifically authorized or to carry out an unauthorized appropriation.,25,72
2009-07-29,1,244,H.R. 3183,On the Motion S.Amdt. 1862,Rejected,"Motion to Waive CBA re: Alexander Amdt. No. 1862; To limit disbursement of additional funds under the Troubled Asset Relief Program to certain automobile manufacturers, to impose fiduciary duties on the Secretary of the Treasury with respect to shareholders of such automobile manufacturers, to require the issuance of shares of common stock to eligible taxpayers which represent the common stock holdings of the United States Government in such automobile manufacturers, and for other purposes.",38,59
2009-07-29,1,245,H.R. 3183,On the Amendment S.Amdt. 1879,Rejected,Coburn Amdt. No. 1879; To reduce the appropriation for Departmental Administration of the Department of Energy so that the Department can set an example for all Americans by reducing unnecessary energy usage.,35,62
2009-07-29,1,246,H.R. 3183,On the Amendment S.Amdt. 1895,Agreed to,Dorgan Amdt. No. 1895; To provide requirements regarding the authority of the Department of Energy to enter into certain contracts.,79,18
2009-07-29,1,247,H.R. 3183,On the Amendment S.Amdt. 1884,Rejected,Coburn Amdt. No. 1884; To prohibit no bid contracts by requiring the use of competitive procedures to award contracts and grants funded under this Act.,26,71
2009-07-29,1,248,H.R. 3183,On Passage of the Bill,Passed,"H.R. 3183 as Amended; Energy and Water Development and Related Agencies Appropriations Act, 2010",85,9
2009-07-30,1,249,H.R. 3357,On the Amendment S.Amdt. 1907,Rejected,Vitter Amdt. No. 1907 as Modified; To temporarily protect the solvency of the Highway Trust Fund.,42,55
2009-07-30,1,250,H.R. 3357,On the Amendment S.Amdt. 1905,Rejected,Ensign Amdt. No. 1905 as Modified; To offset the appropriation of funds to replenish the Unemployment Trust Fund with unobligated nonveterans funds from the American Recovery and Reinvestment Act of 2009.,41,56
2009-07-30,1,251,H.R. 3357,On the Motion S.Amdt. 1904,Rejected,Motion to Waive CBA Bond Amdt. No. 1904; To repeal a certain provision of the SAFETEA-LU.,34,63
2009-07-30,1,252,H.R. 3357,On the Amendment S.Amdt. 2223,Rejected,Sessions Amdt. No. 2223; To restore sums to the Highway Trust Fund.,40,57
2009-07-30,1,253,H.R. 3357,On the Motion,Agreed to,"Motion to Waive CBA Re: H.R. 3357; A bill to restore sums to the Highway Trust Fund, and for other purposes.",71,26
2009-07-30,1,254,H.R. 3357,On Passage of the Bill,Passed,"H.R. 3357; A bill to restore sums to the Highway Trust Fund, and for other purposes.",79,17
2009-08-03,1,255,H.R. 2997,On the Cloture Motion S.Amdt. 1908,Agreed to,Motion to Invoke cloture on the Kohl Amdt. No. 1908; In the nature of a substitute.,83,11
2009-08-03,1,256,H.R. 2997,On the Amendment S.Amdt. 1910,Rejected,McCain Amdt. No. 1910; To strike a setaside for certain grants authorized under the Rural Electrification Act.,41,55
2009-08-04,1,257,H.R. 2997,On the Amendment S.Amdt. 1912,Rejected,McCain Amdt. No. 1912; To strike a provision relating to certain watershed and flood prevention operations.,27,70
2009-08-04,1,258,H.R. 2997,On the Amendment S.Amdt. 2244,Rejected,Coburn Amdt. No. 2244; To support the proposal of the President to eliminate funding in the bill for digital conversion efforts of the Department of Agriculture that are duplicative of existing Federal efforts.,37,60
2009-08-04,1,259,H.R. 2997,On the Motion,Rejected,"Coburn Motion To Commit To The Committee on Appropriations ; Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2010",32,65
2009-08-04,1,260,H.R. 2997,On the Motion S.Amdt. 2276,Agreed to,Motion to Waive the CBA Sanders Amdt. No. 2276; To modify the amount made available for the Farm Service Agency.,60,37
2009-08-04,1,261,H.R. 2997,On Passage of the Bill,Passed,"H.R. 2997 As Amended; Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2010",80,17
2009-08-06,1,262,PN506,On the Nomination,Confirmed,"Confirmation Sonia Sotomayor, of New York, to be an Associate Justice of the Supreme Court",68,31
2009-08-06,1,263,H.R. 3435,On the Motion to Table S.Amdt. 2300,Agreed to,"Motion to Table Harkin Amdt. No. 2300; To limit the provision of vouchers to individuals with adjusted gross incomes of less than $50,000 or joint filers with adjusted gross incomes of less than $75,000.",65,32
2009-08-06,1,264,H.R. 3435,On the Amendment S.Amdt. 2301,Rejected,Kyl Amdt. No. 2301 As Modified; In the nature of a substitute.,40,57
2009-08-06,1,265,H.R. 3435,On the Motion S.Amdt. 2302,Rejected,Motion To Waive CBA re: Gregg Amdt. No. 2302; To protect the generations of tomorrow from paying for new cars today.,46,51
2009-08-06,1,266,H.R. 3435,On the Motion S.Amdt. 2304,Rejected,Motion to Waive CBA re: Coburn Amdt. No. 2304; To provide assistance to charities and families in need.,41,56
2009-08-06,1,267,H.R. 3435,On the Amendment S.Amdt. 2303,Rejected,Vitter Amdt. No. 2303; To provide for a date certain for termination of the Troubled Asset Relief Program.,41,56
2009-08-06,1,268,H.R. 3435,On the Motion S.Amdt. 2306,Rejected,"Motion to Waive Section 201, S. Con. Res. 21, 110th Congress re: Isakson Amdt. No. 2306; To amend the Internal Revenue Code of 1986 to provide an income tax credit for certain home purchases, and to transfer to the Treasury unobligated funds made available by the American Recovery and Reinvestment Act in the amount of the reduction in revenue resulting from such credit.",47,50
2009-08-06,1,269,H.R. 3435,On the Motion,Agreed to,"Motion to Waive Sec. 403(e)(1), S. Con. Res. 13 of 111th Congress re: H.R. 3435; A bill making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.",60,37
2009-08-06,1,270,H.R. 3435,On Passage of the Bill,Passed,H.R. 3435; A bill making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program.,60,37
2009-09-08,1,271,S. 1023,On the Cloture Motion S.Amdt. 1347,Agreed to,Upon Reconsideration Motion to Invoke Cloture on the Dorgan Amdt. No. 1347; Of a perfecting nature.,80,19
2009-09-09,1,272,S. 1023,On Passage of the Bill,Passed,S.1023 As Amended; Travel Promotion Act of 2009,79,19
2009-09-09,1,273,PN323,On the Cloture Motion,Agreed to,"Motion to Invoke Cloture on the Nomination of Cass R. Sunstein, to be Administrator of the Office of Regulatory Affairs, Office of Management and Budget",63,35
2009-09-10,1,274,PN323,On the Nomination,Confirmed,"Confirmation of Cass R. Sunstein, of MA, to be Administrator of the Office of Information and Regulatory Affairs, Office of Management and Budget",57,40
2009-09-14,1,275,H.R. 3288,On the Amendment S.Amdt. 2355,Agreed to,Johanns Amendment Number 2355 as modified; Prohibiting use of funds to fund the Association of Community Organizations for Reform Now (ACORN).,83,7
2009-09-15,1,276,H.R. 3288,On the Motion S.Amdt. 2375,Agreed to,Motion To Table McCain Amdt. No. 2375; To provide that all amounts in the bill provided for congressional earmarks shall be made available for NextGen and NextGen programs.,68,26
2009-09-16,1,277,H.R. 3288,On the Amendment S.Amdt. 2371,Rejected,"Coburn Amdt. No. 2371; To remove an unnecessary and burdensome mandate on the States, by allowing them to opt out of a provision that requires States to spend 10 percent of their surface transportation funds on enhancement projects such as road-kill reduction and highway beautification.",39,59
2009-09-16,1,278,H.R. 3288,On the Amendment S.Amdt. 2372,Rejected,"Coburn Amdt. No. 2372; To fully provide for the critical surface transportation needs of the United States by prohibiting funds from being used on lower-priority projects, such as transportation museums.",41,57
2009-09-16,1,279,H.R. 3288,On the Amendment S.Amdt. 2366,Agreed to,Wicker Amdt. No. 2366 As Modified; To permit Amtrak passengers to safely transport firearms and ammunition in their checked baggage.,68,30
2009-09-16,1,280,H.R. 3288,On the Amendment S.Amdt. 2376,Agreed to,Vitter Amendment Number 2376; To affirm the continuing existence of the community service requirements under section 12(c) of the United States Housing Act of 1937.,73,25
2009-09-16,1,281,H.R. 3288,On the Amendment S.Amdt. 2361,Rejected,Gregg Amdt. No. 2361; To prohibit the use of stimulus funds for self-congratulatory signage that allows lawmakers to promote their spending of taxpayer dollars on stimulus projects.,45,52
