"Senator","Congress","Party"
"SLIDELL (D LA)",36,"D"
"BENJAMIN (D LA)",36,"D"
"FESSENDEN (R ME)",36,"R"
"HAMLIN (R ME)",36,"R"
"MORRILL (R ME)",36,"R"
"KENNEDY (American MD)",36,"American"
"PEARCE (D MD)",36,"D"
"WILSON (R MA)",36,"R"
"SUMNER (R MA)",36,"R"
"CHANDLER (R MI)",36,"R"
"BINGHAM (R MI)",36,"R"
"WILKINSON (R MN)",36,"R"
"RICE (D MN)",36,"D"
"DAVIS (D MS)",36,"D"
"BROWN (D MS)",36,"D"
"POLK (D MO)",36,"D"
"GREEN (D MO)",36,"D"
"CLARK (R NH)",36,"R"
"HALE (R NH)",36,"R"
"TEN (R NJ)",36,"R"
"THOMSON (D NJ)",36,"D"
"SEWARD (R NY)",36,"R"
"KING (R NY)",36,"R"
"BRAGG (D NC)",36,"D"
"CLINGMAN (D NC)",36,"D"
"WADE (R OH)",36,"R"
"PUGH (D OH)",36,"D"
"LANE (D OR)",36,"D"
"BAKER (R OR)",36,"R"
"CAMERON (R PA)",36,"R"
"BIGLER (D PA)",36,"D"
"SIMMONS (R RI)",36,"R"
"ANTHONY (R RI)",36,"R"
"CHESNUT (D SC)",36,"D"
"HAMMOND (D SC)",36,"D"
"JOHNSON (D TN)",36,"D"
"NICHOLSON (D TN)",36,"D"
"HEMPHILL (D TX)",36,"D"
"WARD (D TX)",36,"D"
"WIGFALL (D TX)",36,"D"
"COLLAMER (R VT)",36,"R"
"FOOT (R VT)",36,"R"
"MASON (D VA)",36,"D"
"HUNTER (D VA)",36,"D"
"DURKEE (R WI)",36,"R"
"DOOLITTLE (R WI)",36,"R"
"MITCHEL (D AR)",37,"D"
"SEBASTIAN (D AR)",37,"D"
"LATHAM (D CA)",37,"D"
"MCDOUGALL (D CA)",37,"D"
"FOSTER (R CT)",37,"R"
"DIXON (R CT)",37,"R"
"BAYARD (D DE)",37,"D"
"SAULSBURY (D DE)",37,"D"
"TRUMBULL (R IL)",37,"R"
"DOUGLAS (D IL)",37,"D"
"BROWNING (R IL)",37,"R"
"RICHARDSON (D IL)",37,"D"
"LANE (R IN)",37,"R"
"BRIGHT (D IN)",37,"D"
"WRIGHT (Unionist IN)",37,"Unionist"
"TURPIE (D IN)",37,"D"
"GRIMES (R IA)",37,"R"
"HARLAN (R IA)",37,"R"
"POMEROY (R KS)",37,"R"
"LANE (R KS)",37,"R"
"POWELL (D KY)",37,"D"
"BRECKINRIDG (D KY)",37,"D"
"DAVIS (Unionist KY)",37,"Unionist"
"FESSENDEN (R ME)",37,"R"
"MORRILL (R ME)",37,"R"
"KENNEDY (Unionist MD)",37,"Unionist"
"PEARCE (D MD)",37,"D"
"HICKS (Unionist MD)",37,"Unionist"
"SUMNER (R MA)",37,"R"
"WILSON (R MA)",37,"R"
"CHANDLER (R MI)",37,"R"
"BINGHAM (R MI)",37,"R"
"HOWARD (R MI)",37,"R"
"RICE (D MN)",37,"D"
"WILKINSON (R MN)",37,"R"
"POLK (D MO)",37,"D"
"JOHNSON (D MO)",37,"D"
"WILSON (Unionist MO)",37,"Unionist"
"HENDERSON (Unionist MO)",37,"Unionist"
"HALE (R NH)",37,"R"
"CLARK (R NH)",37,"R"
"WALL (D NJ)",37,"D"
"THOMSON (D NJ)",37,"D"
"FIELD (R NJ)",37,"R"
"TENEYCK (R NJ)",37,"R"
"HARRIS (R NY)",37,"R"
"KING (R NY)",37,"R"
"BRAGG (D NC)",37,"D"
"CLINGMAN (D NC)",37,"D"
"WADE (R OH)",37,"R"
"CHASE (R OH)",37,"R"
"SHERMAN (R OH)",37,"R"
"NESMITH (D OR)",37,"D"
"BAKER (R OR)",37,"R"
"STARK (D OR)",37,"D"
"HARDING (D OR)",37,"D"
"COWAN (R PA)",37,"R"
"WILMOT (R PA)",37,"R"
"CAMERON (R PA)",37,"R"
"ANTHONY (R RI)",37,"R"
"SIMMONS (R RI)",37,"R"
"ARNOLD (R RI)",37,"R"
"NICHOLSON (D TN)",37,"D"
"JOHNSON (D TN)",37,"D"
"WIGFALL (D TX)",37,"D"
"HEMPHILL (D TX)",37,"D"
"FOOT (R VT)",37,"R"
"COLLAMER (R VT)",37,"R"
"HUNTER (D VA)",37,"D"
"MASON (D VA)",37,"D"
"WILLEY (Unionist VA)",37,"Unionist"
"CARLILE (Unionist VA)",37,"Unionist"
"DOOLITTLE (R WI)",37,"R"
"HOWE (R WI)",37,"R"
"MCDOUGALL (D CA)",38,"D"
"CONNESS (R CA)",38,"R"
"FOSTER (R CT)",38,"R"
"DIXON (R CT)",38,"R"
"SAULSBURY (D DE)",38,"D"
"BAYARD (D DE)",38,"D"
"RIDDLE (D DE)",38,"D"
"TRUMBULL (R IL)",38,"R"
"RICHARDSON (D IL)",38,"D"
"LANE (R IN)",38,"R"
"HENDRICKS (D IN)",38,"D"
"HARLAN (R IA)",38,"R"
"GRIMES (R IA)",38,"R"
"LANE (R KS)",38,"R"
"POMEROY (R KS)",38,"R"
"DAVIS (Unionist KY)",38,"Unionist"
"POWELL (D KY)",38,"D"
"MORRILL (R ME)",38,"R"
"FESSENDEN (R ME)",38,"R"
"FARWELL (R ME)",38,"R"
"HICKS (Unconditional Unionist MD)",38,"Unconditional"
"JOHNSON (Unionist MD)",38,"Unionist"
"WILSON (R MA)",38,"R"
"SUMNER (R MA)",38,"R"
"HOWARD (R MI)",38,"R"
"CHANDLER (R MI)",38,"R"
"WILKINSON (R MN)",38,"R"
"RAMSEY (R MN)",38,"R"
"HENDERSON (Unconditional Unionist MO)",38,"Unconditional"
"WILSON (Unionist MO)",38,"Unionist"
"BROWN (Unconditional Unionist MO)",38,"Unconditional"
"STEWART (R NV)",38,"R"
"NYE (R NV)",38,"R"
"CLARK (R NH)",38,"R"
"HALE (R NH)",38,"R"
"TENEYCK (R NJ)",38,"R"
"WRIGHT (D NJ)",38,"D"
"MORGAN (R NY)",38,"R"
"HARRIS (R NY)",38,"R"
"SHERMAN (R OH)",38,"R"
"WADE (R OH)",38,"R"
"NESMITH (D OR)",38,"D"
"HARDING (D OR)",38,"D"
"BUCKALEW (D PA)",38,"D"
"COWAN (R PA)",38,"R"
"ANTHONY (R RI)",38,"R"
"SPRAGUE (R RI)",38,"R"
"COLLAMER (R VT)",38,"R"
"FOOT (R VT)",38,"R"
"CARLILE (Unionist VA)",38,"Unionist"
"BOWDEN (Unionist VA)",38,"Unionist"
"VAN (Unconditional Unionist WV)",38,"Unconditional"
"WILLEY (Unconditional Unionist WV)",38,"Unconditional"
"DOOLITTLE (R WI)",38,"R"
"HOWE (R WI)",38,"R"
"CONNESS (R CA)",39,"R"
"MCDOUGALL (D CA)",39,"D"
"FOSTER (R CT)",39,"R"
"DIXON (R CT)",39,"R"
"SAULSBURY (D DE)",39,"D"
"RIDDLE (D DE)",39,"D"
"YATES (R IL)",39,"R"
"TRUMBULL (R IL)",39,"R"
"HENDRICKS (D IN)",39,"D"
"LANE (R IN)",39,"R"
"GRIMES (R IA)",39,"R"
"HARLAN (R IA)",39,"R"
"KIRKWOOD (R IA)",39,"R"
"POMEROY (R KS)",39,"R"
"LANE (R KS)",39,"R"
"ROSS (R KS)",39,"R"
"DAVIS (D KY)",39,"D"
"GUTHRIE (D KY)",39,"D"
"MORRILL (R ME)",39,"R"
"FESSENDEN (R ME)",39,"R"
"CRESWELL (Unconditional Unionist MD)",39,"Unconditional"
"JOHNSON (D MD)",39,"D"
"SUMNER (R MA)",39,"R"
"WILSON (R MA)",39,"R"
"HOWARD (R MI)",39,"R"
"CHANDLER (R MI)",39,"R"
"NORTON (R MN)",39,"R"
"RAMSEY (R MN)",39,"R"
"BROWN (R MO)",39,"R"
"HENDERSON (R MO)",39,"R"
"STEWART (R NV)",39,"R"
"NYE (R NV)",39,"R"
"CRAGIN (R NH)",39,"R"
"CLARK (R NH)",39,"R"
"FOGG (R NH)",39,"R"
"STOCKTON (D NJ)",39,"D"
"WRIGHT (D NJ)",39,"D"
"CATTELL (R NJ)",39,"R"
"FRELINGHUYS (R NJ)",39,"R"
"MORGAN (R NY)",39,"R"
"HARRIS (R NY)",39,"R"
"SHERMAN (R OH)",39,"R"
"WADE (R OH)",39,"R"
"NESMITH (D OR)",39,"D"
"WILLIAMS (R OR)",39,"R"
"BUCKALEW (D PA)",39,"D"
"COWAN (R PA)",39,"R"
"SPRAGUE (R RI)",39,"R"
"ANTHONY (R RI)",39,"R"
"FOWLER (Unconditional Unionist TN)",39,"Unconditional"
"PATTERSON (Unionist TN)",39,"Unionist"
"FOOT (R VT)",39,"R"
"COLLAMER (R VT)",39,"R"
"EDMUNDS (R VT)",39,"R"
"POLAND (R VT)",39,"R"
"VAN (Unconditional Unionist WV)",39,"Unconditional"
"WILLEY (R WV)",39,"R"
"DOOLITTLE (R WI)",39,"R"
"HOWE (R WI)",39,"R"
"SPENCER (R AL)",40,"R"
"WARNER (R AL)",40,"R"
"RICE (R AR)",40,"R"
"MCDONALD (R AR)",40,"R"
"CONNESS (R CA)",40,"R"
"COLE (R CA)",40,"R"
"FERRY (R CT)",40,"R"
"DIXON (R CT)",40,"R"
"SAULSBURY (D DE)",40,"D"
"RIDDLE (D DE)",40,"D"
"BAYARD (D DE)",40,"D"
"WELCH (R FL)",40,"R"
"OSBORN (R FL)",40,"R"
"TRUMBULL (R IL)",40,"R"
"YATES (R IL)",40,"R"
"MORTON (R IN)",40,"R"
"HENDRICKS (D IN)",40,"D"
"HARLAN (R IA)",40,"R"
"GRIMES (R IA)",40,"R"
"POMEROY (R KS)",40,"R"
"ROSS (R KS)",40,"R"
"GUTHRIE (D KY)",40,"D"
"DAVIS (D KY)",40,"D"
"MCCREERY (D KY)",40,"D"
"HARRIS (R LA)",40,"R"
"KELLOGG (R LA)",40,"R"
"MORRILL (R ME)",40,"R"
"FESSENDEN (R ME)",40,"R"
"VICKERS (D MD)",40,"D"
"JOHNSON (D MD)",40,"D"
"WHYTE (D MD)",40,"D"
"WILSON (R MA)",40,"R"
"SUMNER (R MA)",40,"R"
"CHANDLER (R MI)",40,"R"
"HOWARD (R MI)",40,"R"
"NORTON (R MN)",40,"R"
"RAMSEY (R MN)",40,"R"
"DRAKE (R MO)",40,"R"
"HENDERSON (R MO)",40,"R"
"THAYER (R NE)",40,"R"
"TIPTON (R NE)",40,"R"
"NYE (R NV)",40,"R"
"STEWART (R NV)",40,"R"
"CRAGIN (R NH)",40,"R"
"PATTERSON (R NH)",40,"R"
"CATTELL (R NJ)",40,"R"
"FRELINGHUYS (R NJ)",40,"R"
"CONKLING (R NY)",40,"R"
"MORGAN (R NY)",40,"R"
"ABBOTT (R NC)",40,"R"
"POOL (R NC)",40,"R"
"SHERMAN (R OH)",40,"R"
"WADE (R OH)",40,"R"
"WILLIAMS (R OR)",40,"R"
"CORBETT (R OR)",40,"R"
"BUCKALEW (D PA)",40,"D"
"CAMERON (R PA)",40,"R"
"ANTHONY (R RI)",40,"R"
"SPRAGUE (R RI)",40,"R"
"ROBERTSON (R SC)",40,"R"
"SAWYER (R SC)",40,"R"
"FOWLER (R TN)",40,"R"
"PATTERSON (D TN)",40,"D"
"EDMUNDS (R VT)",40,"R"
"MORRILL (R VT)",40,"R"
"VANWINKLE (R WV)",40,"R"
"WILLEY (R WV)",40,"R"
"DOOLITTLE (R WI)",40,"R"
"HOWE (R WI)",40,"R"
"WARNER (R AL)",41,"R"
"SPENCER (R AL)",41,"R"
"MCDONALD (R AR)",41,"R"
"RICE (R AR)",41,"R"
"COLE (R CA)",41,"R"
"CASSERLY (D CA)",41,"D"
"FERRY (R CT)",41,"R"
"BUCKINGHAM (R CT)",41,"R"
"SAULSBURY (D DE)",41,"D"
"BAYARD (D DE)",41,"D"
"OSBORN (R FL)",41,"R"
"GILBERT (R FL)",41,"R"
"MILLER (D GA)",41,"D"
"HILL (R GA)",41,"R"
"YATES (R IL)",41,"R"
"TRUMBULL (R IL)",41,"R"
"PRATT (R IN)",41,"R"
"MORTON (R IN)",41,"R"
"HARLAN (R IA)",41,"R"
"GRIMES (R IA)",41,"R"
"HOWELL (R IA)",41,"R"
"POMEROY (R KS)",41,"R"
"ROSS (R KS)",41,"R"
"MCCREERY (D KY)",41,"D"
"DAVIS (D KY)",41,"D"
"KELLOGG (R LA)",41,"R"
"HARRIS (R LA)",41,"R"
"HAMLIN (R ME)",41,"R"
"FESSENDEN (R ME)",41,"R"
"MORRILL (R ME)",41,"R"
"HAMILTON (D MD)",41,"D"
"VICKERS (D MD)",41,"D"
"WILSON (R MA)",41,"R"
"SUMNER (R MA)",41,"R"
"HOWARD (R MI)",41,"R"
"CHANDLER (R MI)",41,"R"
"RAMSEY (R MN)",41,"R"
"NORTON (D MN)",41,"D"
"WINDOM (R MN)",41,"R"
"STEARNS (R MN)",41,"R"
"AMES (R MS)",41,"R"
"REVELS (R MS)",41,"R"
"SCHURZ (R MO)",41,"R"
"DRAKE (R MO)",41,"R"
"JEWETT (R MO)",41,"R"
"BLAIR (D MO)",41,"D"
"TIPTON (R NE)",41,"R"
"THAYER (R NE)",41,"R"
"STEWART (R NV)",41,"R"
"NYE (R NV)",41,"R"
"PATTERSON (R NH)",41,"R"
"CRAGIN (R NH)",41,"R"
"STOCKTON (D NJ)",41,"D"
"CATTELL (R NJ)",41,"R"
"FENTON (R NY)",41,"R"
"CONKLING (R NY)",41,"R"
"ABBOTT (R NC)",41,"R"
"POOL (R NC)",41,"R"
"THURMAN (D OH)",41,"D"
"SHERMAN (R OH)",41,"R"
"CORBETT (R OR)",41,"R"
"WILLIAMS (R OR)",41,"R"
"CAMERON (R PA)",41,"R"
"SCOTT (R PA)",41,"R"
"SPRAGUE (R RI)",41,"R"
"ANTHONY (R RI)",41,"R"
"ROBERTSON (R SC)",41,"R"
"SAWYER (R SC)",41,"R"
"FOWLER (R TN)",41,"R"
"BROWNLOW (R TN)",41,"R"
"FLANAGAN (R TX)",41,"R"
"HAMILTON (R TX)",41,"R"
"EDMUNDS (R VT)",41,"R"
"MORRILL (R VT)",41,"R"
"JOHNSTON (D VA)",41,"D"
"LEWIS (R VA)",41,"R"
"WILLEY (R WV)",41,"R"
"BOREMAN (R WV)",41,"R"
"HOWE (R WI)",41,"R"
"CARPENTER (R WI)",41,"R"
"SPENCER (R AL)",42,"R"
"GOLDTHWAITE (D AL)",42,"D"
"RICE (R AR)",42,"R"
"CLAYTON (R AR)",42,"R"
"COLE (R CA)",42,"R"
"CASSERLY (D CA)",42,"D"
"FERRY (R CT)",42,"R"
"BUCKINGHAM (R CT)",42,"R"
"BAYARD (D DE)",42,"D"
"SAULSBURY (D DE)",42,"D"
"GILBERT (R FL)",42,"R"
"OSBORN (R FL)",42,"R"
"NORWOOD (D GA)",42,"D"
"HILL (R GA)",42,"R"
"TRUMBULL (R IL)",42,"R"
"LOGAN (R IL)",42,"R"
"MORTON (R IN)",42,"R"
"PRATT (R IN)",42,"R"
"HARLAN (R IA)",42,"R"
"WRIGHT (R IA)",42,"R"
"POMEROY (R KS)",42,"R"
"CALDWELL (R KS)",42,"R"
"STEVENSON (D KY)",42,"D"
"DAVIS (D KY)",42,"D"
"MACHEN (D KY)",42,"D"
"WEST (R LA)",42,"R"
"KELLOGG (R LA)",42,"R"
"MORRILL (R ME)",42,"R"
"HAMLIN (R ME)",42,"R"
"VICKERS (D MD)",42,"D"
"HAMILTON (D MD)",42,"D"
"WILSON (R MA)",42,"R"
"SUMNER (R MA)",42,"R"
"FERRY (R MI)",42,"R"
"CHANDLER (R MI)",42,"R"
"RAMSEY (R MN)",42,"R"
"WINDOM (R MN)",42,"R"
"ALCORN (R MS)",42,"R"
"AMES (R MS)",42,"R"
"SCHURZ (Liberal Republican MO)",42,"Liberal"
"BLAIR (D MO)",42,"D"
"HITCHCOCK (R NE)",42,"R"
"TIPTON (R NE)",42,"R"
"NYE (R NV)",42,"R"
"STEWART (R NV)",42,"R"
"CRAGIN (R NH)",42,"R"
"PATTERSON (R NH)",42,"R"
"STOCKTON (D NJ)",42,"D"
"FRELINGHUYS (R NJ)",42,"R"
"CONKLING (R NY)",42,"R"
"FENTON (R NY)",42,"R"
"POOL (R NC)",42,"R"
"RANSOM (D NC)",42,"D"
"SHERMAN (R OH)",42,"R"
"THURMAN (D OH)",42,"D"
"CORBETT (R OR)",42,"R"
"KELLY (D OR)",42,"D"
"CAMERON (R PA)",42,"R"
"SCOTT (R PA)",42,"R"
"ANTHONY (R RI)",42,"R"
"SPRAGUE (R RI)",42,"R"
"ROBERTSON (R SC)",42,"R"
"SAWYER (R SC)",42,"R"
"BROWNLOW (R TN)",42,"R"
"COOPER (D TN)",42,"D"
"HAMILTON (R TX)",42,"R"
"FLANAGAN (R TX)",42,"R"
"EDMUNDS (R VT)",42,"R"
"MORRILL (R VT)",42,"R"
"LEWIS (R VA)",42,"R"
"JOHNSTON (D VA)",42,"D"
"DAVIS (D WV)",42,"D"
"BOREMAN (R WV)",42,"R"
"CARPENTER (R WI)",42,"R"
"HOWE (R WI)",42,"R"
"GOLDTHWAITE (D AL)",43,"D"
"SPENCER (R AL)",43,"R"
"CLAYTON (R AR)",43,"R"
"DORSEY (R AR)",43,"R"
"SARGENT (R CA)",43,"R"
"CASSERLY (D CA)",43,"D"
"HAGER (D CA)",43,"D"
"FERRY (Liberal Republican CT)",43,"Liberal"
"BUCKINGHAM (R CT)",43,"R"
"EATON (D CT)",43,"D"
"SAULSBURY (D DE)",43,"D"
"BAYARD (D DE)",43,"D"
"GILBERT (R FL)",43,"R"
"CONOVER (R FL)",43,"R"
"GORDON (D GA)",43,"D"
"NORWOOD (D GA)",43,"D"
"LOGAN (R IL)",43,"R"
"OGLESBY (R IL)",43,"R"
"PRATT (R IN)",43,"R"
"MORTON (R IN)",43,"R"
"WRIGHT (R IA)",43,"R"
"ALLISON (R IA)",43,"R"
"INGALLS (R KS)",43,"R"
"CALDWELL (R KS)",43,"R"
"CROZIER (R KS)",43,"R"
"HARVEY (R KS)",43,"R"
"MCCREERY (D KY)",43,"D"
"STEVENSON (D KY)",43,"D"
"WEST (R LA)",43,"R"
"MORRILL (R ME)",43,"R"
"HAMLIN (R ME)",43,"R"
"DENNIS (D MD)",43,"D"
"HAMILTON (D MD)",43,"D"
"BOUTWELL (R MA)",43,"R"
"SUMNER (Liberal Republican MA)",43,"Liberal"
"WASHBURN (R MA)",43,"R"
"FERRY (R MI)",43,"R"
"CHANDLER (R MI)",43,"R"
"WINDOM (R MN)",43,"R"
"RAMSEY (R MN)",43,"R"
"ALCORN (R MS)",43,"R"
"AMES (R MS)",43,"R"
"PEASE (R MS)",43,"R"
"BOGY (D MO)",43,"D"
"SCHURZ (Liberal Republican MO)",43,"Liberal"
"TIPTON (Liberal Republican NE)",43,"Liberal"
"HITCHCOCK (R NE)",43,"R"
"JONES (R NV)",43,"R"
"STEWART (R NV)",43,"R"
"WADLEIGH (R NH)",43,"R"
"CRAGIN (R NH)",43,"R"
"STOCKTON (D NJ)",43,"D"
"FRELINGHUYS (R NJ)",43,"R"
"FENTON (Liberal Republican NY)",43,"Liberal"
"CONKLING (R NY)",43,"R"
"MERRIMON (D NC)",43,"D"
"RANSOM (D NC)",43,"D"
"THURMAN (D OH)",43,"D"
"SHERMAN (R OH)",43,"R"
"KELLY (D OR)",43,"D"
"MITCHELL (R OR)",43,"R"
"CAMERON (R PA)",43,"R"
"SCOTT (R PA)",43,"R"
"SPRAGUE (Liberal Republican RI)",43,"Liberal"
"ANTHONY (R RI)",43,"R"
"ROBERTSON (R SC)",43,"R"
"PATTERSON (R SC)",43,"R"
"COOPER (D TN)",43,"D"
"BROWNLOW (R TN)",43,"R"
"HAMILTON (Liberal Republican TX)",43,"Liberal"
"FLANAGAN (R TX)",43,"R"
"EDMUNDS (R VT)",43,"R"
"MORRILL (R VT)",43,"R"
"LEWIS (R VA)",43,"R"
"JOHNSTON (D VA)",43,"D"
"DAVIS (D WV)",43,"D"
"BOREMAN (R WV)",43,"R"
"CARPENTER (R WI)",43,"R"
"HOWE (R WI)",43,"R"
"GOLDTHWAITE (D AL)",44,"D"
"SPENCER (R AL)",44,"R"
"CLAYTON (R AR)",44,"R"
"DORSEY (R AR)",44,"R"
"SARGENT (R CA)",44,"R"
"BOOTH (Ind. Republican CA)",44,"Ind"
"CHAFFEE (R CO)",44,"R"
"TELLER (R CO)",44,"R"
"EATON (D CT)",44,"D"
"FERRY (R CT)",44,"R"
"ENGLISH (D CT)",44,"D"
"BARNUM (D CT)",44,"D"
"BAYARD (D DE)",44,"D"
"SAULSBURY (D DE)",44,"D"
"CONOVER (R FL)",44,"R"
"JONES (D FL)",44,"D"
"GORDON (D GA)",44,"D"
"NORWOOD (D GA)",44,"D"
"OGLESBY (R IL)",44,"R"
"LOGAN (R IL)",44,"R"
"MCDONALD (D IN)",44,"D"
"MORTON (R IN)",44,"R"
"WRIGHT (R IA)",44,"R"
"ALLISON (R IA)",44,"R"
"INGALLS (R KS)",44,"R"
"HARVEY (R KS)",44,"R"
"MCCREERY (D KY)",44,"D"
"STEVENSON (D KY)",44,"D"
"WEST (R LA)",44,"R"
"HAMLIN (R ME)",44,"R"
"MORRILL (R ME)",44,"R"
"BLAINE (R ME)",44,"R"
"WHYTE (D MD)",44,"D"
"DENNIS (D MD)",44,"D"
"DAWES (R MA)",44,"R"
"BOUTWELL (R MA)",44,"R"
"CHRISTIANCY (R MI)",44,"R"
"FERRY (R MI)",44,"R"
"WINDOM (R MN)",44,"R"
"MCMILLAN (R MN)",44,"R"
"BRUCE (R MS)",44,"R"
"ALCORN (R MS)",44,"R"
"BOGY (D MO)",44,"D"
"COCKRELL (D MO)",44,"D"
"PADDOCK (R NE)",44,"R"
"HITCHCOCK (R NE)",44,"R"
"JONES (R NV)",44,"R"
"SHARON (R NV)",44,"R"
"WADLEIGH (R NH)",44,"R"
"CRAGIN (R NH)",44,"R"
"RANDOLPH (D NJ)",44,"D"
"FRELINGHUYS (R NJ)",44,"R"
"KERNAN (D NY)",44,"D"
"CONKLING (R NY)",44,"R"
"RANSOM (D NC)",44,"D"
"MERRIMON (D NC)",44,"D"
"THURMAN (D OH)",44,"D"
"SHERMAN (R OH)",44,"R"
"KELLY (D OR)",44,"D"
"MITCHELL (R OR)",44,"R"
"CAMERON (R PA)",44,"R"
"WALLACE (D PA)",44,"D"
"ANTHONY (R RI)",44,"R"
"BURNSIDE (R RI)",44,"R"
"PATTERSON (R SC)",44,"R"
"ROBERTSON (R SC)",44,"R"
"COOPER (D TN)",44,"D"
"JOHNSON (D TN)",44,"D"
"KEY (D TN)",44,"D"
"BAILEY (D TN)",44,"D"
"HAMILTON (R TX)",44,"R"
"MAXEY (D TX)",44,"D"
"MORRILL (R VT)",44,"R"
"EDMUNDS (R VT)",44,"R"
"WITHERS (D VA)",44,"D"
"JOHNSTON (D VA)",44,"D"
"DAVIS (D WV)",44,"D"
"CAPERTON (D WV)",44,"D"
"PRICE (D WV)",44,"D"
"HEREFORD (D WV)",44,"D"
"CAMERON (R WI)",44,"R"
"HOWE (R WI)",44,"R"
"SPENCER (R AL)",45,"R"
"MORGAN (D AL)",45,"D"
"GARLAND (D AR)",45,"D"
"DORSEY (R AR)",45,"R"
"BOOTH (R CA)",45,"R"
"SARGENT (R CA)",45,"R"
"CHAFFEE (R CO)",45,"R"
"TELLER (R CO)",45,"R"
"EATON (D CT)",45,"D"
"BARNUM (D CT)",45,"D"
"SAULSBURY (D DE)",45,"D"
"BAYARD (D DE)",45,"D"
"JONES (D FL)",45,"D"
"CONOVER (R FL)",45,"R"
"HILL (D GA)",45,"D"
"GORDON (D GA)",45,"D"
"OGLESBY (R IL)",45,"R"
"DAVIS (Indep IL)",45,"Indep"
"MCDONALD (D IN)",45,"D"
"MORTON (R IN)",45,"R"
"VOORHEES (D IN)",45,"D"
"KIRKWOOD (R IA)",45,"R"
"ALLISON (R IA)",45,"R"
"PLUMB (R KS)",45,"R"
"INGALLS (R KS)",45,"R"
"MCCREERY (D KY)",45,"D"
"BECK (D KY)",45,"D"
"KELLOGG (R LA)",45,"R"
"EUSTIS (D LA)",45,"D"
"HAMLIN (R ME)",45,"R"
"BLAINE (R ME)",45,"R"
"WHYTE (D MD)",45,"D"
"DENNIS (D MD)",45,"D"
"DAWES (R MA)",45,"R"
"HOAR (R MA)",45,"R"
"FERRY (R MI)",45,"R"
"CHRISTIANCY (R MI)",45,"R"
"CHANDLER (R MI)",45,"R"
"MCMILLAN (R MN)",45,"R"
"WINDOM (R MN)",45,"R"
"BRUCE (R MS)",45,"R"
"LAMAR (D MS)",45,"D"
"COCKRELL (D MO)",45,"D"
"BOGY (D MO)",45,"D"
"ARMSTRONG (D MO)",45,"D"
"SHIELDS (D MO)",45,"D"
"PADDOCK (R NE)",45,"R"
"SAUNDERS (R NE)",45,"R"
"JONES (R NV)",45,"R"
"SHARON (R NV)",45,"R"
"ROLLINS (R NH)",45,"R"
"WADLEIGH (R NH)",45,"R"
"RANDOLPH (D NJ)",45,"D"
"MCPHERSON (D NJ)",45,"D"
"KERNAN (D NY)",45,"D"
"CONKLING (R NY)",45,"R"
"MERRIMON (D NC)",45,"D"
"RANSOM (D NC)",45,"D"
"THURMAN (D OH)",45,"D"
"SHERMAN (R OH)",45,"R"
"MATTHEWS (R OH)",45,"R"
"GROVER (D OR)",45,"D"
"MITCHELL (R OR)",45,"R"
"WALLACE (D PA)",45,"D"
"CAMERON (R PA)",45,"R"
"CAMERON (R PA) 1435",45,"R"
"ANTHONY (R RI)",45,"R"
"BURNSIDE (R RI)",45,"R"
"BUTLER (D SC)",45,"D"
"PATTERSON (R SC)",45,"R"
"HARRIS (D TN)",45,"D"
"BAILEY (D TN)",45,"D"
"COKE (D TX)",45,"D"
"MAXEY (D TX)",45,"D"
"EDMUNDS (R VT)",45,"R"
"MORRILL (R VT)",45,"R"
"JOHNSTON (D VA)",45,"D"
"WITHERS (D VA)",45,"D"
"HEREFORD (D WV)",45,"D"
"DAVIS (D WV)",45,"D"
"HOWE (R WI)",45,"R"
"CAMERON (R WI)",45,"R"
"MORGAN (D AL)",46,"D"
"HOUSTON (D AL)",46,"D"
"PRYOR (D AL)",46,"D"
"PUGH (D AL)",46,"D"
"WALKER (D AR)",46,"D"
"GARLAND (D AR)",46,"D"
"FARLEY (D CA)",46,"D"
"BOOTH (R CA)",46,"R"
"TELLER (R CO)",46,"R"
"HILL (R CO)",46,"R"
"PLATT (R CT)",46,"R"
"EATON (D CT)",46,"D"
"SAULSBURY (D DE)",46,"D"
"BAYARD (D DE)",46,"D"
"CALL (D FL)",46,"D"
"JONES (D FL)",46,"D"
"HILL (D GA)",46,"D"
"GORDON (D GA)",46,"D"
"BROWN (D GA)",46,"D"
"DAVIS (Indep IL)",46,"Indep"
"LOGAN (R IL)",46,"R"
"MCDONALD (D IN)",46,"D"
"VOORHEES (D IN)",46,"D"
"KIRKWOOD (R IA)",46,"R"
"ALLISON (R IA)",46,"R"
"INGALLS (R KS)",46,"R"
"PLUMB (R KS)",46,"R"
"BECK (D KY)",46,"D"
"WILLIAMS (D KY)",46,"D"
"JONAS (D LA)",46,"D"
"KELLOGG (R LA)",46,"R"
"HAMLIN (R ME)",46,"R"
"BLAINE (R ME)",46,"R"
"GROOME (D MD)",46,"D"
"WHYTE (D MD)",46,"D"
"DAWES (R MA)",46,"R"
"HOAR (R MA)",46,"R"
"FERRY (R MI)",46,"R"
"CHANDLER (R MI)",46,"R"
"BALDWIN (R MI)",46,"R"
"WINDOM (R MN)",46,"R"
"MCMILLAN (R MN)",46,"R"
"LAMAR (D MS)",46,"D"
"BRUCE (R MS)",46,"R"
"COCKRELL (D MO)",46,"D"
"VEST (D MO)",46,"D"
"SAUNDERS (R NE)",46,"R"
"PADDOCK (R NE)",46,"R"
